"SKU_","Description","Price_EX","AvailableStock","Category_Code","Category_Description","Group","Brand"
"M1502NAQ-516512S0W","ASUS VIVOBOOK 15 M1502NAQ – RYZEN 5 150",14061.2500,0.00,"ONB","NOTEBOOKS & TABLETS","","ASUS"
"M1502QA-58512S0W","ASUS VIVOBOOK RYZEN 5 8GB 512GB 15.6",8412.5000,0.00,"ONB","NOTEBOOKS & TABLETS","","ASUS"
"M1502QA-78512S0W","ASUS VIVOBOOK R7-5800H/HS 8GB 512GB 15.6",11216.2500,0.00,"ONB","NOTEBOOKS & TABLETS","","ASUS"
"M1502YA-58512S2W-E","ASUS VIVOBOOK| R5-7430U|DDR4 8GB|512GB P",10148.5700,0.00,"ONB","NOTEBOOKS & TABLETS","",""
"M1605NAQ-516512S0W","ASUS VIVOBOOK 16 M1605NAQ – RYZEN 5 150,",11087.0600,0.00,"ONB","NOTEBOOKS & TABLETS","","ASUS"
"M1605NAQ-716512S0W","ASUS VIVOBOOK 16 M1605NAQ – RYZEN 7 170,",12175.2900,0.00,"ONB","NOTEBOOKS & TABLETS","","ASUS"
"M16785-001","OEM PM991A 256GB M.2 NVME SSD",396.0400,0.00,"SSD","SSD DRIVES","NVME25","SAMSUNG"
"M17QF6-3G","MECER XPRESS SMARTLIFE 10.1” ANDROID10 G",1976.2500,0.00,"TAB","TABLETS","10""","MECER"
"M180","AVANSA SUPER DETECT WITH ULTRAVIOLET NRC",2994.6400,0.00,"AC","ACCESSORIES","OFFICE","MLINK"
"M232","USB MOUSE",61.8900,4.00,"MS","MOUSE","WIRED","M-LINK"
"M2PF-C3-BK-EP","ORICO M.2 5GBPS USB3.1-TYPE-C ENCLOSURE",229.3500,11.00,"ENC","EXTERNAL ENCLOSURES & CHASSIS","","ORICO"
"M2PH01-BK-BP","ORICO NVME STORAGE BAG BK",336.2800,0.00,"AC","ACCESSORIES","ENC","ORICO"
"M3000","CUDY M3000(2-PACK) AX3000 2.5-GIGABIT DU",1742.8600,0.00,"NC","NETWORK DEVICES","","CUDY"
"M3000 1PACK","CUDY MESH KIT AX3000 GIGABIT 1PK",902.8600,0.00,"NC","NETWORK DEVICES","","CUDY"
"M3000-2G","CUDY M3000(2-PACK) AX3000 2.5-GIGABIT DU",1814.2900,0.00,"NC","NETWORK DEVICES","","CUDY"
